Player,2022 Salary,2022 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
DiJonai Carrington  D Carrington,"$62,774",Rookie,36,2,17.5,6.8,2.3,5.6,41.4%,1.8,3.9,46.1%,0.5,1.7,30.6%,1.6,2.1,75.0%,1.1,2.1,3.1,1.1,1.6,0.8,0.1,1.9
Riquna Williams  R Williams,"$145,000",UFA,21,0,18.0,6.7,2.1,5.6,38.1%,0.5,1.2,44.0%,1.6,4.4,36.6%,0.8,1.0,76.2%,0.2,1.8,2.0,1.2,0.3,0.4,0.1,1.7
Lindsay Allen  L Allen,"$8,571",UFA,9,0,14.8,6.7,2.2,4.2,52.6%,1.3,2.7,50.0%,0.9,1.6,57.1%,1.3,1.4,92.3%,0.0,1.6,1.6,3.4,0.8,0.2,0.0,1.2
Lindsay Allen  L Allen,"$1,607",UFA,9,0,14.8,6.7,2.2,4.2,52.6%,1.3,2.7,50.0%,0.9,1.6,57.1%,1.3,1.4,92.3%,0.0,1.6,1.6,3.4,0.8,0.2,0.0,1.2
Lindsay Allen  L Allen,"$2,678",UFA,9,0,14.8,6.7,2.2,4.2,52.6%,1.3,2.7,50.0%,0.9,1.6,57.1%,1.3,1.4,92.3%,0.0,1.6,1.6,3.4,0.8,0.2,0.0,1.2
Jasmine Thomas  J Thomas,"$190,000",UFA,5,5,21.8,6.6,1.6,6.0,26.7%,0.6,3.4,17.6%,1.0,2.6,38.5%,2.4,2.6,92.3%,0.4,1.8,2.2,3.0,1.4,0.6,0.2,1.4
Kristy Wallace  K Wallace,"$63,389",Rookie,29,18,20.8,6.6,2.3,5.6,40.7%,1.4,3.2,43.6%,0.9,2.3,36.8%,1.1,1.4,78.6%,0.6,1.7,2.3,2.2,1.5,0.6,0.2,2.0
Tiffany Mitchell  T Mitchell,"$148,400",--,34,8,16.3,6.5,2.4,5.4,45.1%,2.1,4.4,46.4%,0.4,0.9,38.7%,1.3,1.5,86.5%,0.6,0.6,1.2,1.2,0.9,0.8,0.1,1.4
Sami Whitcomb  S Whitcomb,"$150,350",RFA,35,6,21.3,6.5,2.1,5.7,36.8%,0.4,0.9,45.5%,1.7,4.8,35.1%,0.6,0.7,87.0%,0.3,2.1,2.3,2.3,1.4,0.7,0.1,1.6
Monique Billings  M Billings,"$140,000",RFA,23,8,17.4,6.5,2.4,5.1,47.0%,2.4,5.0,47.4%,0.0,0.0,0.0%,1.7,2.2,76.5%,2.0,4.4,6.3,1.1,1.3,0.8,0.3,2.3
Nia Coffey  N Coffey,"$130,000",UFA,16,16,21.0,6.4,2.2,6.3,34.7%,1.6,4.4,37.1%,0.6,1.9,29.0%,1.4,1.9,74.2%,0.4,4.8,5.2,0.8,2.2,0.6,0.1,2.2
Angel McCoughtry  A McCoughtry,"$69,000",UFA,2,2,9.9,6.0,1.5,4.0,37.5%,1.5,3.5,42.9%,0.0,0.5,0.0%,3.0,3.0,100.0%,0.0,3.0,3.0,1.0,1.5,0.5,1.0,1.5
Katie Benzan  K Benzan,"$3,592",Hardship,3,0,8.9,6.0,1.7,3.0,55.6%,0.0,0.7,0.0%,1.7,2.3,71.4%,1.0,1.3,75.0%,0.3,0.3,0.7,0.3,0.7,0.0,0.3,2.3
Nikolina Milic  N Milic,"$31,882",Hardship,31,4,11.7,6.0,2.4,4.4,54.8%,2.2,3.6,60.2%,0.2,0.7,27.3%,1.0,1.4,73.8%,1.5,1.5,3.0,0.7,1.4,0.3,0.3,1.8
Nikolina Milic  N Milic,"$10,477",UFA,31,4,11.7,6.0,2.4,4.4,54.8%,2.2,3.6,60.2%,0.2,0.7,27.3%,1.0,1.4,73.8%,1.5,1.5,3.0,0.7,1.4,0.3,0.3,1.8
Kristi Toliver  K Toliver,"$196,100",--,11,10,19.8,5.9,1.7,4.6,37.3%,0.5,1.4,40.0%,1.2,3.3,36.1%,1.3,1.5,87.5%,0.0,0.8,0.8,3.1,2.3,0.4,0.0,1.3
Sparkle Taylor  S Taylor,"$3,592",Hardship,2,0,12.3,5.5,2.5,3.0,83.3%,2.5,2.5,100.0%,0.0,0.5,0.0%,0.5,0.5,100.0%,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.5
Crystal Dangerfield  C Dangerfield,"$2,694",Hardship,33,27,21.5,5.5,2.0,5.0,39.8%,1.3,2.9,45.3%,0.7,2.2,32.4%,0.8,1.0,73.5%,0.4,1.6,2.0,2.6,0.9,0.5,0.1,1.3
