year,team,conference,elo,week
2012,Penn State,Big Ten,1675,6
2012,Pittsburgh,Big East,1547,6
2012,Purdue,Big Ten,1459,6
2012,Rice,Conference USA,1206,6
2012,Rutgers,Big East,1616,6
2012,San Diego State,Mountain West,1591,6
2012,San José State,Western Athletic,1398,6
2012,SMU,Conference USA,1382,6
2012,South Alabama,Sun Belt,1323,6
2012,South Carolina,SEC,1956,6
2012,Southern Miss,Conference USA,1466,6
2012,South Florida,Big East,1523,6
2012,Stanford,Pac-12,1890,6
2012,Syracuse,Big East,1443,6
2012,TCU,Big 12,1699,6
2012,Temple,Big East,1595,6
2012,Tennessee,SEC,1601,6
2012,Texas,Big 12,1780,6
2012,Texas A&M,SEC,1901,6
2012,Texas State,Western Athletic,1187,6
2012,Texas Tech,Big 12,1561,6
2012,Toledo,Mid-American,1600,6
2012,Troy,Sun Belt,1376,6
2012,Tulane,Conference USA,891,6
2012,Tulsa,Conference USA,1610,6
2012,UAB,Conference USA,1175,6
2012,UCF,Conference USA,1619,6
2012,UCLA,Pac-12,1526,6
2012,UConn,Big East,1532,6
2012,UL Monroe,Sun Belt,1552,6
2012,UNLV,Mountain West,1138,6
2012,USC,Pac-12,1826,6
2012,Utah,Pac-12,1504,6
2012,Utah State,Western Athletic,1482,6
2012,UTEP,Conference USA,1310,6
2012,UTSA,Western Athletic,1544,6
2012,Vanderbilt,SEC,1472,6
2012,Virginia,ACC,1302,6
2012,Virginia Tech,ACC,1655,6
2012,Wake Forest,ACC,1318,6
2012,Washington,Pac-12,1461,6
2012,Washington State,Pac-12,1348,6
2012,Western Kentucky,Sun Belt,1511,6
2012,Western Michigan,Mid-American,1509,6
2012,West Virginia,Big 12,1800,6
2012,Wisconsin,Big Ten,1865,6
2012,Wyoming,Mountain West,1390,6
2012,Air Force,Mountain West,1526,7
2012,Akron,Mid-American,983,7
2012,Alabama,SEC,2160,7
2012,App State,Southern,1327,7
2012,Arizona,Pac-12,1506,7
2012,Arizona State,Pac-12,1744,7
