season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2010,regular,3,,Coaches Poll,342,Wake Forest,ACC,,40,0
2010,regular,3,,Coaches Poll,102,Gonzaga,WCC,,26,0
2010,regular,3,,Coaches Poll,218,Oklahoma State,Big 12,,24,0
2010,regular,3,,Coaches Poll,18,BYU,Mountain West,,23,0
2010,regular,3,,Coaches Poll,90,Florida State,ACC,,20,0
2010,regular,3,,Coaches Poll,322,UNLV,Mountain West,,18,0
2010,regular,3,,Coaches Poll,64,Dayton,A-10,,18,0
2010,regular,3,,Coaches Poll,213,Notre Dame,Big East,,18,0
2010,regular,3,,Coaches Poll,168,Miami,ACC,,16,0
2010,regular,3,,Coaches Poll,136,LSU,SEC,,15,0
2010,regular,3,,Coaches Poll,359,Xavier,A-10,,12,0
2010,regular,3,,Coaches Poll,229,Pittsburgh,Big East,,12,0
2010,regular,3,,Coaches Poll,304,Tulsa,CUSA,,12,0
2010,regular,3,,Coaches Poll,163,Memphis,CUSA,,11,0
2010,regular,3,,Coaches Poll,220,Ole Miss,SEC,,10,0
2010,regular,3,,Coaches Poll,132,Kansas State,Big 12,,8,0
2010,regular,3,,Coaches Poll,293,Texas A&M,Big 12,,8,0
2010,regular,3,,Coaches Poll,177,Missouri,Big 12,,3,0
2010,regular,3,,Coaches Poll,87,Florida,SEC,,3,0
2010,regular,3,,Coaches Poll,253,Saint Mary's,WCC,,2,0
2010,regular,3,,Coaches Poll,264,Siena,MAAC,,1,0
2010,regular,3,,Coaches Poll,191,New Mexico,Mountain West,,1,0
2010,regular,4,,AP Top 25,131,Kansas,Big 12,1.0,1623,63
2010,regular,4,,AP Top 25,295,Texas,Big 12,2.0,1508,1
2010,regular,4,,AP Top 25,338,Villanova,Big East,3.0,1442,0
2010,regular,4,,AP Top 25,236,Purdue,Big Ten,4.0,1389,0
2010,regular,4,,AP Top 25,135,Kentucky,SEC,5.0,1333,0
2010,regular,4,,AP Top 25,72,Duke,ACC,6.0,1316,0
2010,regular,4,,AP Top 25,347,West Virginia,Big East,7.0,1238,0
2010,regular,4,,AP Top 25,286,Syracuse,Big East,8.0,1183,1
2010,regular,4,,AP Top 25,169,Michigan State,Big Ten,9.0,1109,0
2010,regular,4,,AP Top 25,200,North Carolina,ACC,10.0,961,0
2010,regular,4,,AP Top 25,292,Tennessee,SEC,11.0,936,0
