gameId,date,season,stage,teamId,team,teamAbbrev,isHome,opponentId,opponent,team_score,opp_score,result,team_shootout_score,opp_shootout_score,status,venue,city,attendance,team_foulsCommitted,team_yellowCards,team_redCards,team_offsides,team_wonCorners,team_saves,team_possessionPct,team_totalShots,team_shotsOnTarget,team_shotPct,team_penaltyKickGoals,team_penaltyKickShots,team_accuratePasses,team_totalPasses,team_passPct,team_accurateCrosses,team_totalCrosses,team_crossPct,team_totalLongBalls,team_accurateLongBalls,team_longballPct,team_blockedShots,team_effectiveTackles,team_totalTackles,team_tacklePct,team_interceptions,team_effectiveClearance,team_totalClearance,opp_foulsCommitted,opp_yellowCards,opp_redCards,opp_offsides,opp_wonCorners,opp_saves,opp_possessionPct,opp_totalShots,opp_shotsOnTarget,opp_shotPct,opp_penaltyKickGoals,opp_penaltyKickShots,opp_accuratePasses,opp_totalPasses,opp_passPct,opp_accurateCrosses,opp_totalCrosses,opp_crossPct,opp_totalLongBalls,opp_accurateLongBalls,opp_longballPct,opp_blockedShots,opp_effectiveTackles,opp_totalTackles,opp_tacklePct,opp_interceptions,opp_effectiveClearance,opp_totalClearance
760435,2026-06-17,2026,group-stage,2850,Congo DR,COD,False,482,Portugal,1,1,D,,,FT,NRG Stadium,"Houston, Texas",68777,10,1,0,2,4,0,24.6,8,2,0.3,0,0,195,249,0.8,1,10,0.1,40,11,0.3,3,9,17,0.5,5,27,27,9,3,0,3,5,1,75.4,7,1,0.1,0,0,724,783,0.9,6,23,0.3,64,41,0.6,2,6,12,0.5,3,10,10
760435,2026-06-17,2026,group-stage,482,Portugal,POR,True,2850,Congo DR,1,1,D,,,FT,NRG Stadium,"Houston, Texas",68777,9,3,0,3,5,1,75.4,7,1,0.1,0,0,724,783,0.9,6,23,0.3,64,41,0.6,2,6,12,0.5,3,10,10,10,1,0,2,4,0,24.6,8,2,0.3,0,0,195,249,0.8,1,10,0.1,40,11,0.3,3,9,17,0.5,5,27,27
760437,2026-06-17,2026,group-stage,477,Croatia,CRO,False,448,England,2,4,L,,,FT,AT&T Stadium,"Arlington, Texas",70389,12,0,0,1,2,7,48.3,10,5,0.5,0,0,381,443,0.9,2,13,0.2,42,18,0.4,2,8,11,0.7,9,17,17,10,0,0,0,8,3,51.7,22,11,0.5,0,1,406,474,0.9,6,13,0.5,41,15,0.4,5,7,9,0.8,7,16,16
760437,2026-06-17,2026,group-stage,448,England,ENG,True,477,Croatia,4,2,W,,,FT,AT&T Stadium,"Arlington, Texas",70389,10,0,0,0,8,3,51.7,22,11,0.5,0,1,406,474,0.9,6,13,0.5,41,15,0.4,5,7,9,0.8,7,16,16,12,0,0,1,2,7,48.3,10,5,0.5,0,0,381,443,0.9,2,13,0.2,42,18,0.4,2,8,11,0.7,9,17,17
760436,2026-06-18,2026,group-stage,208,Colombia,COL,False,2570,Uzbekistan,3,1,W,,,FT,Estadio Banorte,Mexico City,80824,11,1,0,3,4,1,61.4,15,4,0.3,0,0,444,519,0.9,6,16,0.4,48,17,0.4,4,3,10,0.3,6,20,20,14,1,0,0,3,1,38.6,8,2,0.3,0,0,243,319,0.8,3,13,0.2,53,17,0.3,2,7,10,0.7,7,24,24
760436,2026-06-18,2026,group-stage,2570,Uzbekistan,UZB,True,208,Colombia,1,3,L,,,FT,Estadio Banorte,Mexico City,80824,14,1,0,0,3,1,38.6,8,2,0.3,0,0,243,319,0.8,3,13,0.2,53,17,0.3,2,7,10,0.7,7,24,24,11,1,0,3,4,1,61.4,15,4,0.3,0,0,444,519,0.9,6,16,0.4,48,17,0.4,4,3,10,0.3,6,20,20
760438,2026-06-18,2026,group-stage,467,South Africa,RSA,False,450,Czechia,1,1,D,,,FT,Mercedes-Benz Stadium,"Atlanta, Georgia",67442,10,2,0,3,5,2,61.7,17,4,0.2,0,1,508,563,0.9,4,17,0.2,58,30,0.5,8,11,20,0.6,9,24,24,12,1,0,2,5,3,38.3,14,3,0.2,0,0,272,341,0.8,7,16,0.4,45,22,0.5,3,4,12,0.3,9,22,22
760438,2026-06-18,2026,group-stage,450,Czechia,CZE,True,467,South Africa,1,1,D,,,FT,Mercedes-Benz Stadium,"Atlanta, Georgia",67442,12,1,0,2,5,3,38.3,14,3,0.2,0,0,272,341,0.8,7,16,0.4,45,22,0.5,3,4,12,0.3,9,22,22,10,2,0,3,5,2,61.7,17,4,0.2,0,1,508,563,0.9,4,17,0.2,58,30,0.5,8,11,20,0.6,9,24,24
760439,2026-06-18,2026,group-stage,452,Bosnia-Herzegovina,BIH,False,475,Switzerland,1,4,L,,,FT,SoFi Stadium,"Inglewood, California",70026,18,2,1,1,3,3,37.7,5,3,0.6,0,0,287,354,0.8,1,12,0.0,48,13,0.3,1,3,13,0.2,11,36,36,7,1,0,3,7,2,62.3,13,7,0.5,0,1,516,586,0.9,1,23,0.0,50,25,0.5,3,13,19,0.7,5,17,17
760439,2026-06-18,2026,group-stage,475,Switzerland,SUI,True,452,Bosnia-Herzegovina,4,1,W,,,FT,SoFi Stadium,"Inglewood, California",70026,7,1,0,3,7,2,62.3,13,7,0.5,0,1,516,586,0.9,1,23,0.0,50,25,0.5,3,13,19,0.7,5,17,17,18,2,1,1,3,3,37.7,5,3,0.6,0,0,287,354,0.8,1,12,0.0,48,13,0.3,1,3,13,0.2,11,36,36
