gameId,date,season,teamId,team,isHome,opponentId,opponent,team_points,opp_points,team_fieldGoalsMade,team_fieldGoalsAttempted,team_freeThrowsMade,team_freeThrowsAttempted,team_threePointsMade,team_threePointsAttempted,team_offensiveRebounds,team_totalRebounds,team_assists,team_turnovers,team_personalFouls,team_steals,team_blockedShots,team_fieldGoalPercentage,team_threePointPercentage,team_freeThrowPercentage,opp_fieldGoalsMade,opp_fieldGoalsAttempted,opp_freeThrowsMade,opp_freeThrowsAttempted,opp_threePointsMade,opp_threePointsAttempted,opp_offensiveRebounds,opp_totalRebounds,opp_assists,opp_turnovers,opp_personalFouls,opp_steals,opp_blockedShots,opp_fieldGoalPercentage,opp_threePointPercentage,opp_freeThrowPercentage
6517024,2026-01-01,2026,1953,NJIT,False,96,UMBC,80,75,30,58,17,22,3,17,11,39,10,11,18,4,4,51.7%,17.6%,77.3%,28,68,12,20,7,13,18,35,11,7,17,6,1,41.2%,53.8%,60.0%
6517100,2026-01-01,2026,2652,SIUE,True,2333,Southern Ind.,55,70,20,56,12,20,3,19,11,39,9,15,17,4,2,35.7%,15.8%,60.0%,27,58,13,18,3,10,6,34,19,8,16,9,1,46.6%,30.0%,72.2%
6517100,2026-01-01,2026,2333,Southern Ind.,False,2652,SIUE,70,55,27,58,13,18,3,10,6,34,19,8,16,9,1,46.6%,30.0%,72.2%,20,56,12,20,3,19,11,39,9,15,17,4,2,35.7%,15.8%,60.0%
6517103,2026-01-01,2026,2176,Louisville,True,2006,SMU,91,58,36,74,10,11,9,27,15,41,18,11,11,12,4,48.6%,33.3%,90.9%,21,48,9,13,7,18,3,27,11,24,12,4,1,43.8%,38.9%,69.2%
6517103,2026-01-01,2026,2006,SMU,False,2176,Louisville,58,91,21,48,9,13,7,18,3,27,11,24,12,4,1,43.8%,38.9%,69.2%,36,74,10,11,9,27,15,41,18,11,11,12,4,48.6%,33.3%,90.9%
6517174,2026-01-01,2026,1885,Xavier,True,436,Marquette,54,67,20,59,12,15,2,14,7,24,12,11,12,13,2,33.9%,14.3%,80.0%,25,54,11,15,6,17,12,44,18,23,13,8,5,46.3%,35.3%,73.3%
6517174,2026-01-01,2026,436,Marquette,False,1885,Xavier,67,54,25,54,11,15,6,17,12,44,18,23,13,8,5,46.3%,35.3%,73.3%,20,59,12,15,2,14,7,24,12,11,12,13,2,33.9%,14.3%,80.0%
6517197,2026-01-01,2026,364,Coastal Carolina,True,2500,Marshall,85,87,25,64,28,36,7,18,20,50,9,18,23,9,0,39.1%,38.9%,77.8%,27,67,15,31,18,51,18,43,18,16,27,8,5,40.3%,35.3%,48.4%
6517197,2026-01-01,2026,2500,Marshall,False,364,Coastal Carolina,87,85,27,67,15,31,18,51,18,43,18,16,27,8,5,40.3%,35.3%,48.4%,25,64,28,36,7,18,20,50,9,18,23,9,0,39.1%,38.9%,77.8%
6517255,2026-01-01,2026,1767,Sacramento St.,True,409,Idaho St.,46,61,16,56,10,17,4,24,10,30,9,16,13,17,1,28.6%,16.7%,58.8%,25,54,6,8,5,12,8,42,8,23,16,6,5,46.3%,41.7%,75.0%
