id,season,week,season_type,start_date,completed,neutral_site,conference_game,venue_id,venue,home_id,home_team,home_conference,home_points,away_id,away_team,away_conference,away_points
401421140,2022,5,,,1,,,,Kidd Brewer Stadium,,,,,,,,
401405105,2022,5,,,1,,,,Beaver Stadium,,,,,,,,
401403902,2022,5,,,1,,,,Razorback Stadium,,,,,,,,
401404151,2022,5,,,1,,,,Pratt & Whitney Stadium,,,,,,,,
401405103,2022,5,,,1,,,,SECU Stadium,,,,,,,,
401416610,2022,5,,,1,,,,UB Stadium,,,,,,,,
401411127,2022,5,,,1,,,,Doak Campbell Stadium,,,,,,,,
401405104,2022,5,,,1,,,,Ohio Stadium,,,,,,,,
401426575,2022,5,,,1,,,,DATCU Stadium,,,,,,,,
401403906,2022,5,,,1,,,,Davis Wade Stadium,,,,,,,,
401411130,2022,5,,,1,,,,JMA Wireless Dome,,,,,,,,
401426341,2022,5,,,1,,,,Cajun Field,,,,,,,,
401404004,2022,5,,,1,,,,Gesa Field,,,,,,,,
401404161,2022,5,,,1,,,,S.B. Ballard Stadium,,,,,,,,
401426573,2022,5,,,1,,,,Jerry Richardson Stadium,,,,,,,,
401416612,2022,5,,,1,,,,Waldo Stadium,,,,,,,,
401426340,2022,5,,,1,,,,Centennial Bank Stadium,,,,,,,,
401403903,2022,5,,,1,,,,Jordan-Hare Stadium,,,,,,,,
401415627,2022,5,,,1,,,,Chapman Stadium,,,,,,,,
401426578,2022,5,,,1,,,,Houchens Industries-L.T. Smith Stadium,,,,,,,,
401426337,2022,5,,,1,,,,Brooks Stadium (SC),,,,,,,,
401405102,2022,5,,,1,,,,"Memorial Stadium (Lincoln, NE)",,,,,,,,
401415230,2022,5,,,1,,,,War Memorial Stadium,,,,,,,,
401403907,2022,5,,,1,,,,Memorial Stadium,,,,,,,,
401411126,2022,5,,,1,,,,Wallace Wade Stadium,,,,,,,,
401411125,2022,5,,,1,,,,"Memorial Stadium (Clemson, SC)",,,,,,,,
401404087,2022,5,,,1,,,,DKR-Texas Memorial Stadium,,,,,,,,
401426577,2022,5,,,1,,,,Rice Stadium,,,,,,,,
401411129,2022,5,,,1,,,,Acrisure Stadium,,,,,,,,
401426574,2022,5,,,1,,,,Aggie Memorial Stadium,,,,,,,,
401404002,2022,5,,,1,,,,Arizona Stadium,,,,,,,,
401404003,2022,5,,,1,,,,Los Angeles Memorial Coliseum,,,,,,,,
401404005,2022,5,,,1,,,,Autzen Stadium,,,,,,,,
401403904,2022,5,,,1,,,,Ben Hill Griffin Stadium,,,,,,,,
401415629,2022,6,,,1,,,,FBC Mortgage Stadium,,,,,,,,
